조타 전 동료, “겸손한 조타, 리버풀에 머물 재능 아니야”::(베스트 일레븐)리버풀에 입성한 후 곧바로 맹활약을 펼치고 있는 디오고 조타가 리버풀을 떠나 더 큰 무대에 도전할 수 있다는 주장이 나왔다. 포르투갈 21세...
"박지성, 너는 공 만지지 마"…퍼거슨 피를로 봉쇄 비화 공개::▲ 퍼거슨 감독(왼쪽)과 박지성(오른쪽)[스포티비뉴스=박대성 기자] 웨인 루니(35, 더비 카운티)가 챔피언스리그 AC밀란전 비화를 말했다. 알렉스 퍼거슨 ...
이강인, 발렌시아 팀 훈련서 제외…벤투호 '코로나19' 발생 탓인 듯::축구국가대표팀 이강인이 15일(현지시간) 오스트리아 마리아엔처스도로프 BSFZ아레나 보조경기장에서 회복 훈련을 하고 있다. (대한축구협회 제공) 2020.1...
토트넘 팀훈련 합류한 손흥민 코로나19 음성 판정::[파이낸셜뉴스] 훈련하고 있는 손흥민 /사진=토트넘 홋핫스퍼 트위터 영국 프리미어리그(EPL) 토트넘 홋스퍼의 손흥민이 팀 훈련에 합류했다. 손흥민은 오스트...
바르사-뮌헨에선 짧았는데… 펩이 맨시티와 ‘계약 연장한 이유’::[엑스포츠뉴스 김희웅 인턴기자] 펩 과르디올라 감독이 맨체스터 시티를 2023년까지 지휘한다.맨시티는 19일(한국 시간) 구단 홈페이지를 통해 “과르디올라 ...
'부전자전' 반 페르시 아들 환상 발리슛, 이달의 골 등극::[스타뉴스 박수진 기자] 샤킬 반 페르시. /사진=페예노르트 공식 홈페이지현역 시절 환상적인 득점을 자주 만들었던 네덜란드 국가대표 출신 공격수 로빈 반 페...
'전 EPL 태클 1위' 레스터 페헤이라, 리버풀전서 8달 만의 복귀 가능::레스터 시티 라이트백 히카르두 페헤이라[STN스포츠=이형주 기자]레스터 시티 라이트백 히카르두 페헤이라(27)가 리버풀전에 복귀할 수도 있다. 레스터는 오는...
통 큰 즐라탄, 밀란 동료 전원에게 PS5 선물..."쟤가 다 사서 내가 못 샀네"::[OSEN=이인환 기자] 즐라탄 이브라히모비치의 통 큰 선물이 화제다.영국 '더 선'은 20일(한국시간) "즐라탄 이브라히모비치가 AC 밀란 팀 동료 전원에...
'스페셜 원' 무리뉴 감독 "이젠 '익스피리언스트 원'이다"::주제 무리뉴. 게티이미지코리아[풋볼리스트] 유현태 기자= 주제 무리뉴 토트넘 감독은 이제 자신을 '경험 많은 사람(experienced one)'이라고 표현...
[SW이슈]과르디올라, 맨시티와 계약…7년 동행 시작::[스포츠월드=전영민 기자] 펩 과르디올라(49) 감독이 잉글랜드 프로축구프리미어리그(EPL) 맨체스터 시티(이하 맨시티)와 오는 2023년까지 동행한다. 맨...
경기장서 모습 감춘 제임스… 그럼에도 "맨유 사랑해"::맨체스터 유나이티드 측면공격수 대니얼 제임스가 부족한 출전 기회에도 만족감을 드러냈다. /사진=로이터맨체스터 유나이티드(맨유) 측면공격수 대니얼 제임스가 줄...
히바우두, “바르사, 메시 잔류 설득 위해선 우승해야 해”::(베스트 일레븐)리오넬 메시가 소속팀 바르셀로나에 단단히 화가 났다. 이미 지난여름 바르셀로나를 떠나려 했던 메시는 자신에게만 쏟아지는 비난을 더 이상 참기...
발렌시아 복귀한 이강인, 코로나 우려로 '나홀로 훈련'::이강인(발렌시아). 게티이미지코리아[풋볼리스트] 김정용 기자= 축구대표팀에서 소속팀 발렌시아로 돌아간 이강인이 팀원들과 떨어져 개별 훈련을 소화했다.스페인 ...
'쏘니 전 동료' 덴마크 국대 에릭센, 벨기에전 2-4 패배에도 "내년을 바라본다" 소감::크리스티안 에릭센이 지난 16일(한국시간) 오전 덴마크 수도 코펜하겐 소재 파르켄에서 아이슬란드와 가진 유럽축구연맹(UEFA) 네이션스리그 리그 A 2조 5...
루이스-세바요스, 훈련 중 주먹다짐...'피까지 흘렸다' (英 매체)::[스포탈코리아] 곽힘찬 기자= 아스널 팀 훈련 중 다비드 루이스가 다니 세바요스의 코를 가격하는 큰 싸움이 일어난 것으로 알려져 충격을 주고 있다.영국 매체...
'난 영국이 싫어요' 비디오 시청케한 아일랜드 감독 징계 위기::스티븐 케니 아일랜드 축구대표팀 감독이 친선전이 열리기 전 선수들에게 악의적인 내용의 시청각 자료를 제공한 사실이 적발돼 논란의 중심에 섰다. /사진=로이터...
'재정 확보vs역대급 비난'…바르사, 메시 이적 딜레마에 빠졌다::[인터풋볼] 신동훈 기자= 바르셀로나가 리오넬 메시(33) 이적을 두고 딜레마에 빠진 것으로 보인다.메시는 지난 여름 이적시장에서 이적을 선언한 바 있다. ...
펩, 만수르로부터 '최대의 지원' 약속받아…메시에게도 관심::펩 과르디올라 맨체스터 시티 감독[STN스포츠=이형주 기자]변화될 펩 과르디올라(49)호 맨체스터 시티가 기대되는 상황이다. 과르디올라 감독이 19일 맨시티...
케디라 “EPL행 원해…최애 감독은 무리뉴”::[스포츠경향] 사미 케디라. 게티이미지코리아베테랑 미드필더 사미 케디라(33·유벤투스)가 잉글랜드 프리미어리그(EPL)행을 희망했다.19일(한국시간) 영국 ...
‘후보 전락’ 제임스, “맨유는 내 클럽…언제나 자리 지킬 것”::(베스트 일레븐)맨체스터 유나이티드에서 후보 자원으로 전락한 다니엘 제임스가 여전한 애정을 드러냈다. 자리가 어떻든 클럽에 계속 머물고 싶다는 소망이다.제임...
'2연속 트레블' 에투, 1년 만에 현역 복귀 가능성...스페인 4부 유력::[인터풋볼] 오종헌 기자= 바르셀로나와 인터밀란에서 활약했던 사무엘 에투(39)가 다시 현역으로 복귀할 전망이다.에투는 레알 마드리드 유소년 아카데미 출신으...
‘부상 붕괴’ 리버풀 포백, 라인업에서도 사라진 비참한 현실::[스포탈코리아] 한재현 기자= 리버풀이 자랑하던 포백 수비가 부상으로 모두 쓰러졌다. 올 시즌 우승 행보에 심각한 악영향을 피할 수 없다. 리버풀은 오는 2...
'솔직 당당' 정식 감독도 꿈꾸는 루니, "야망 없는 사람은 아닙니다"::웨인 루니 더비 카운티 감독 대행[STN스포츠=이형주 기자]역시나 웨인 루니(35)는 솔직하고 당당했다. 잉글랜드 챔피언십(2부)의 더비 카운티가 위기에 놓...
한다노비치, 인터 밀란과 재계약 기본 합의… 2023년 6월까지::(베스트 일레븐)인터 밀란 수문장 사미르 한다노비치가 소속팀과 재계약에 합의했다.이탈리아 매체 <투토 메르카토>는 인터 밀란과 한다노비치가 오는 2023년 ...
[영상] 트로피 들고 '활짝'…팀 복귀 손흥민, 코로나19 음성 유력::(서울=연합뉴스) 오스트리아에서 A매치(국가대표팀 간 경기)를 치르면서 코로나19 감염이 우려됐던 손흥민(28·토트넘)이 팀 훈련에 무사히 합류했습니다. 토...
손흥민 고백 "이달의 선수상 케인이 받을 줄"::▲ 10월 프리미어리그 이달의 선수상을 수상한 손흥민. ⓒ토트넘 홋스퍼 sns[스포티비뉴스=김건일 기자] 10월 잉글랜드 프리미어리그 이달의 선수상(Play...
'부상 선수만 10명' 리버풀, 유스 팀 유망주 8명 1군 승격::▲ 위르겐 클롭 감독의 머리가 아파졌다.[스포티비뉴스=맹봉주 기자] 다친 선수가 많아도 너무 많다. 선발명단도 제대로 꾸리기 힘든 상황이다. 시즌 초반부터 ...
무리뉴가 밝힌 'SON-케인' 호흡 “둘이 친하거든…질투 없어”::[엑스포츠뉴스 김희웅 인턴기자] 토트넘 홋스퍼의 수장 조제 무리뉴 감독이 손흥민과 해리 케인의 찰떡 호흡의 원인을 설명했다.올 시즌 손흥민과 케인은 어떤 공...
클롭도 부상자 속출에 미칠 노릇...결국 '유스 8명 1군 콜업'::[스포탈코리아] 곽힘찬 기자= 부상으로 주전 상당 부분이 전력에서 이탈한 리버풀이 유스 선수들을 대거 1군으로 콜업했다.영국 매체 ‘더 선’은 19일(현지시...
